10.5281	DataCite
10.7483	DataCite
10.13018	DataCite
10.6084	DataCite
10.34683	DataCite
10.48370	DataCite
10.17026	DataCite
10.17632	DataCite
10.18419	DataCite
10.57745	DataCite
10.5286	DataCite
10.1594	DataCite
10.5061	DataCite
10.5255	DataCite
10.5522	DataCite
10.3886	DataCite
10.5683	DataCite
10.25384	DataCite
10.5258	DataCite
10.17028	DataCite
10.15475	DataCite
10.13140	DataCite
10.13039	Crossref
10.20350	DataCite
10.58132	DataCite
10.25420	DataCite
10.21233	DataCite
10.17863	DataCite
10.13016	DataCite
10.25375	DataCite
10.3289	Crossref
10.25378	DataCite
10.48577	DataCite
10.5194	Crossref
10.34881	DataCite
10.11646	Crossref
10.7916	DataCite
10.15468	DataCite
10.4231	DataCite
10.26188	DataCite
10.18710	DataCite
10.25381	DataCite
10.23641	DataCite
10.15785	DataCite
10.3897	Crossref
10.5878	DataCite
10.1111	Crossref
10.25318	DataCite
10.2317	Crossref
10.25824	DataCite
10.21950	DataCite
10.57760	DataCite
10.4121	DataCite
10.17603	DataCite
10.1371	Crossref
10.21223	DataCite
10.21979	DataCite
10.18167	DataCite
10.22033	DataCite
10.13020	DataCite
10.26050	DataCite
10.4232	DataCite
10.34894	DataCite
10.7295	DataCite
10.20375	DataCite
10.17037	DataCite
10.18150	DataCite
10.57903	DataCite
10.5287	DataCite
10.5252	Crossref
10.21421	DataCite
10.23708	DataCite
10.5445	DataCite
10.24414	DataCite
10.24435	DataCite
10.48331	DataCite
10.18738	DataCite
10.13012	DataCite
10.18130	DataCite
10.7939	DataCite
10.11587	DataCite
10.22008	DataCite
10.25625	DataCite
10.7266	DataCite
10.25592	DataCite
10.57780	DataCite
10.15125	DataCite
10.14473	DataCite
10.13021	DataCite
10.6092	DataCite
10.7278	DataCite
10.7291	DataCite
10.48733	DataCite
10.1093	Crossref
10.11588	DataCite
10.58032	DataCite
10.15787	DataCite
10.1590	Crossref
10.48573	DataCite
10.12688	Crossref
10.1515	Crossref
10.20372	DataCite
10.17617	DataCite
10.25912	DataCite
10.17033	DataCite
10.34820	DataCite
10.48432	DataCite
10.5065	DataCite
10.1080	Crossref
10.57783	DataCite
10.15472	DataCite
10.18170	DataCite
10.7281	DataCite
10.5067	DataCite
10.48579	DataCite
10.6086	DataCite
10.57770	DataCite
10.7272	DataCite
10.57934	DataCite
10.1285	DataCite
10.57979	DataCite
10.5852	Crossref
10.5885	DataCite
10.60520	DataCite
10.57804	DataCite
10.25921	DataCite
10.26106	DataCite
10.15454	DataCite
10.60545	DataCite
